"id","ICAO","IATA","Name","WTC","fileType","yrtext","season","year","phase","hasWTC","mean","median","p10","p90","stDev"
4,"CYVR","YVR","Vancouver Intl",NA,"xlsx","15S","Summer","15","In",FALSE,6.9077519379845,6,5,9,2.6409120013898
11,"CYVR","YVR","Vancouver Intl",NA,"xlsx","15S","Summer","15","Out",FALSE,20.332034294622,20,15,27,5.03827420977298
7,"CYVR","YVR","Vancouver Intl",NA,"xlsx","15W","Winter","15","In",FALSE,6.83057851239669,7,5,9,1.95503672823041
14,"CYVR","YVR","Vancouver Intl",NA,"xlsx","15W","Winter","15","Out",FALSE,20.3775933609958,19,15,27,5.92596001473645
5,"CYVR","YVR","Vancouver Intl",NA,"xlsx","16S","Summer","16","In",FALSE,7.36096049573974,7,5,10,3.21283670560578
12,"CYVR","YVR","Vancouver Intl",NA,"xlsx","16S","Summer","16","Out",FALSE,20.8222915042868,20,16,27,4.67404644708736
8,"CYVR","YVR","Vancouver Intl",NA,"xlsx","16W","Winter","16","In",FALSE,7.46681415929203,7,5,10,3.81748289285322
15,"CYVR","YVR","Vancouver Intl",NA,"xlsx","16W","Winter","16","Out",FALSE,22.9665924276169,20,15,32,12.5929135123133
6,"CYVR","YVR","Vancouver Intl",NA,"xlsx","17S","Summer","17","In",FALSE,7.68978955572876,7,5,10,4.31921804212988
13,"CYVR","YVR","Vancouver Intl",NA,"xlsx","17S","Summer","17","Out",FALSE,21.3128404669261,20,16,28,5.89089786646548
9,"CYVR","YVR","Vancouver Intl",NA,"xlsx","17W","Winter","17","In",FALSE,7.40189125295508,7,5,10,3.32150771131089
24,"CYVR","YVR","Vancouver Intl",NA,"xlsx","17W","Winter","17","Out",FALSE,22.2714285714286,20,16,28.5,10.1812989149871
4,"CYYC","YYC","Calgary Intl",NA,"pdf","10S","Summer","10","In",FALSE,8,7,5,10,3
7,"CYYC","YYC","Calgary Intl",NA,"pdf","10S","Summer","10","Out",FALSE,18,17,11,24,8
1,"CYYC","YYC","Calgary Intl",NA,"pdf","11S","Summer","11","Out",FALSE,18,17,11,25,7
5,"CYYC","YYC","Calgary Intl",NA,"pdf","11S","Summer","11","In",FALSE,8,8,5,11,5
2,"CYYC","YYC","Calgary Intl",NA,"pdf","11W","Winter","11","In",FALSE,9,8,5,12,4
3,"CYYC","YYC","Calgary Intl",NA,"pdf","11W","Winter","11","Out",FALSE,20,18,12,31,10
